"p0","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11"
 1.50910314378899045e+02, 2.31628718703843535e-04, 7.15813388316115934e-02, 3.80571434103095320e-05, 5.36702253758023703e-02, 8.78828866002677733e-02, 8.05658617112832431e-03, 4.97322446141665059e-03, 3.20154919625020781e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 4.99999999999999911e+00
 1.50910314378899045e+02, 2.31628718703843535e-04, 7.15813388316115934e-02, 3.80571434103095320e-05, 5.36702253758023703e-02, 8.78828866002677733e-02, 8.05658617112832431e-03, 4.97322446141665059e-03, 3.20154919625020781e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 4.99999999999999911e+00
 1.50910314378899045e+02, 2.31628718703843535e-04, 7.15813388316115934e-02, 3.80571434103095320e-05, 5.36702253758023703e-02, 8.78828866002677733e-02, 8.05658617112832431e-03, 4.97322446141665059e-03, 3.20154919625020781e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 4.99999999999999911e+00
 1.50910314378899045e+02, 2.31628718703843535e-04, 7.15813388316115934e-02, 3.80571434103095320e-05, 5.36702253758023703e-02, 8.78828866002677733e-02, 8.05658617112832431e-03, 4.97322446141665059e-03, 3.20154919625020781e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 4.99999999999999911e+00
 1.50910314378899045e+02, 2.31628718703843535e-04, 7.15813388316115934e-02, 3.80571434103095320e-05, 5.36702253758023703e-02, 8.78828866002677733e-02, 8.05658617112832431e-03, 4.97322446141665059e-03, 3.20154919625020781e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 4.99999999999999911e+00
 1.50910314378899045e+02, 2.31628718703843535e-04, 7.15813388316115934e-02, 3.80571434103095320e-05, 5.36702253758023703e-02, 8.78828866002677733e-02, 8.05658617112832431e-03, 4.97322446141665059e-03, 3.20154919625020781e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 4.99999999999999911e+00
 1.50910314378899045e+02, 2.31628718703843535e-04, 7.15813388316115934e-02, 3.80571434103095320e-05, 5.36702253758023703e-02, 8.78828866002677733e-02, 8.05658617112832431e-03, 4.97322446141665059e-03, 3.20154919625020781e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 4.99999999999999911e+00
 1.50910314378899045e+02, 2.31628718703843535e-04, 7.15813388316115934e-02, 3.80571434103095320e-05, 5.36702253758023703e-02, 8.78828866002677733e-02, 8.05658617112832431e-03, 4.97322446141665059e-03, 3.20154919625020781e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 4.99999999999999911e+00
 1.50910314378899045e+02, 2.31628718703843535e-04, 7.15813388316115934e-02, 3.80571434103095320e-05, 5.36702253758023703e-02, 8.78828866002677733e-02, 8.05658617112832431e-03, 4.97322446141665059e-03, 3.20154919625020781e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 4.99999999999999911e+00
 1.50910314378899045e+02, 2.31628718703843535e-04, 7.15813388316115934e-02, 3.80571434103095320e-05, 5.36702253758023703e-02, 8.78828866002677733e-02, 8.05658617112832431e-03, 4.97322446141665059e-03, 3.20154919625020781e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 4.99999999999999911e+00
